model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8267898383371824,0.631578947368421,0.2823529411764706,0.3902439024390244,0.8082675982270302
decision_tree,0.8344880677444187,0.575187969924812,0.6,0.5873320537428023,0.7458812260536399
random_forest,0.8868360277136259,0.8068181818181818,0.5568627450980392,0.6589327146171694,0.9213920817369093
gradient_boosting,0.8491147036181679,0.6903225806451613,0.4196078431372549,0.5219512195121951,0.86646194876418
